20170301:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press,stairs}
20170302:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170303:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press}
20170304:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs,rows}
20170305:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,rows}
20170306:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170307:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170308:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170302:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press,stairs}
20170303:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170304:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press}
20170305:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs,rows}
20170306:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,rows}
20170307:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170308:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170309:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170310:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press,stairs}
20170311:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170312:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press}
20170313:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs,rows}
20170314:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,rows}
20170315:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170316:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170317:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170318:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press,stairs}
20170319:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170320:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press}
20170321:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs,rows}
20170322:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,rows}
20170323:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170324:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170325:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170326:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press,stairs}
20170327:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170328:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press}
20170329:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs,rows}
20170330:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,rows}
20170331:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170401:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170402:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170403:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press,stairs}
20170404:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170405:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press}
20170406:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs,rows}
20170407:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,rows}
20170408:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170409:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170410:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170411:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press,stairs}
20170412:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170413:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press}
20170414:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs,rows}
20170415:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,rows}
20170416:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170417:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170418:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170419:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press,stairs}
20170420:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170421:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press}
20170422:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs,rows}
20170423:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,rows}
20170424:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170425:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170426:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170427:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press,stairs}
20170428:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170429:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press}
20170430:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs,rows}
20170501:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,rows}
20170502:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170503:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170504:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170505:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press,stairs}
20170506:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170507:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press}
20170508:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs,rows}
20170509:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,rows}
20170510:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170511:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170512:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170513:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press,stairs}
20170514:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170515:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press}
20170516:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs,rows}
20170517:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,rows}
20170518:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170519:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
