20170301:00:00:00|Calories|CLICKER|634
20170302:00:00:00|Calories|CLICKER|595
20170303:00:00:00|Calories|CLICKER|796
20170304:00:00:00|Calories|CLICKER|684
20170305:00:00:00|Calories|CLICKER|820
20170306:00:00:00|Calories|CLICKER|773
20170307:00:00:00|Calories|CLICKER|621
20170308:00:00:00|Calories|CLICKER|835
20170309:00:00:00|Calories|CLICKER|670
20170310:00:00:00|Calories|CLICKER|631
20170311:00:00:00|Calories|CLICKER|720
20170312:00:00:00|Calories|CLICKER|884
20170313:00:00:00|Calories|CLICKER|570
20170314:00:00:00|Calories|CLICKER|880
20170315:00:00:00|Calories|CLICKER|789
20170316:00:00:00|Calories|CLICKER|907
20170317:00:00:00|Calories|CLICKER|965
20170318:00:00:00|Calories|CLICKER|722
20170319:00:00:00|Calories|CLICKER|881
20170320:00:00:00|Calories|CLICKER|675
20170321:00:00:00|Calories|CLICKER|544
20170322:00:00:00|Calories|CLICKER|573
20170323:00:00:00|Calories|CLICKER|900
20170324:00:00:00|Calories|CLICKER|832
20170325:00:00:00|Calories|CLICKER|937
20170326:00:00:00|Calories|CLICKER|575
20170327:00:00:00|Calories|CLICKER|743
20170328:00:00:00|Calories|CLICKER|961
20170329:00:00:00|Calories|CLICKER|708
20170330:00:00:00|Calories|CLICKER|668
20170331:00:00:00|Calories|CLICKER|767
20170401:00:00:00|Calories|CLICKER|774
20170402:00:00:00|Calories|CLICKER|673
20170403:00:00:00|Calories|CLICKER|935
20170404:00:00:00|Calories|CLICKER|858
20170405:00:00:00|Calories|CLICKER|782
20170406:00:00:00|Calories|CLICKER|914
20170407:00:00:00|Calories|CLICKER|768
20170408:00:00:00|Calories|CLICKER|875
20170409:00:00:00|Calories|CLICKER|639
20170410:00:00:00|Calories|CLICKER|594
20170411:00:00:00|Calories|CLICKER|801
20170412:00:00:00|Calories|CLICKER|822
20170413:00:00:00|Calories|CLICKER|883
20170414:00:00:00|Calories|CLICKER|507
20170415:00:00:00|Calories|CLICKER|929
20170416:00:00:00|Calories|CLICKER|583
20170417:00:00:00|Calories|CLICKER|942
20170418:00:00:00|Calories|CLICKER|986
20170419:00:00:00|Calories|CLICKER|736
20170420:00:00:00|Calories|CLICKER|830
20170421:00:00:00|Calories|CLICKER|651
20170422:00:00:00|Calories|CLICKER|868
20170423:00:00:00|Calories|CLICKER|546
20170424:00:00:00|Calories|CLICKER|698
20170425:00:00:00|Calories|CLICKER|616
20170426:00:00:00|Calories|CLICKER|982
20170427:00:00:00|Calories|CLICKER|501
20170428:00:00:00|Calories|CLICKER|595
20170429:00:00:00|Calories|CLICKER|766
20170430:00:00:00|Calories|CLICKER|567
20170501:00:00:00|Calories|CLICKER|879
20170502:00:00:00|Calories|CLICKER|778
20170503:00:00:00|Calories|CLICKER|787
20170504:00:00:00|Calories|CLICKER|734
20170505:00:00:00|Calories|CLICKER|792
20170506:00:00:00|Calories|CLICKER|823
20170507:00:00:00|Calories|CLICKER|598
20170508:00:00:00|Calories|CLICKER|605
20170509:00:00:00|Calories|CLICKER|680
20170510:00:00:00|Calories|CLICKER|943
20170511:00:00:00|Calories|CLICKER|745
20170512:00:00:00|Calories|CLICKER|928
20170513:00:00:00|Calories|CLICKER|589
20170514:00:00:00|Calories|CLICKER|976
20170515:00:00:00|Calories|CLICKER|574
20170516:00:00:00|Calories|CLICKER|795
20170517:00:00:00|Calories|CLICKER|516
20170518:00:00:00|Calories|CLICKER|938
20170519:00:00:00|Calories|CLICKER|649
20170520:00:00:00|Calories|CLICKER|590
20170521:00:00:00|Calories|CLICKER|630
20170522:00:00:00|Calories|CLICKER|952
20170523:00:00:00|Calories|CLICKER|679
20170524:00:00:00|Calories|CLICKER|950
20170525:00:00:00|Calories|CLICKER|563
20170526:00:00:00|Calories|CLICKER|697
20170527:00:00:00|Calories|CLICKER|735
20170528:00:00:00|Calories|CLICKER|503
20170529:00:00:00|Calories|CLICKER|525
20170530:00:00:00|Calories|CLICKER|653
20170531:00:00:00|Calories|CLICKER|745
20170601:00:00:00|Calories|CLICKER|884
20170602:00:00:00|Calories|CLICKER|791
20170603:00:00:00|Calories|CLICKER|833
20170604:00:00:00|Calories|CLICKER|656
20170605:00:00:00|Calories|CLICKER|582
20170606:00:00:00|Calories|CLICKER|686
20170607:00:00:00|Calories|CLICKER|976
20170608:00:00:00|Calories|CLICKER|673
20170609:00:00:00|Calories|CLICKER|619
20170610:00:00:00|Calories|CLICKER|887
20170611:00:00:00|Calories|CLICKER|609
20170612:00:00:00|Calories|CLICKER|830
20170613:00:00:00|Calories|CLICKER|848
20170614:00:00:00|Calories|CLICKER|946
20170615:00:00:00|Calories|CLICKER|798
20170616:00:00:00|Calories|CLICKER|663
20170617:00:00:00|Calories|CLICKER|588
20170618:00:00:00|Calories|CLICKER|822
20170619:00:00:00|Calories|CLICKER|853
20170620:00:00:00|Calories|CLICKER|752
20170621:00:00:00|Calories|CLICKER|552
